player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,zr
20,2027,2,100,1,0,2,831,43,786,393,876,98,98,2,0,0,5,52,9,1,14,14,1,11,10,3,3,6,6,0,0,0,0,0,0,0.8301
20,2028,2,100,1,0,2,73,5,67,35,79,9,9,1,0,0,1,19,2,0,2,2,0,2,2,0,0,1,1,0,0,0,0,0,0,-0.4352
21,2021,2,100,1,0,7,212,7,202,0,899,100,100,3,1,0,0,0,0,1,190,196,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.8806
21,2022,2,100,1,0,7,74,2,71,0,313,35,35,1,1,0,0,0,0,2,68,67,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4044
21,2022,2,100,1,0,9,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233
21,2023,2,100,1,0,7,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000
21,2023,2,100,1,0,9,3,0,3,0,8,4,0,0,0,0,0,0,0,0,3,3,0,0,0,2,2,1,1,0,0,0,0,0,0,0.2787
21,2025,3,100,1,0,9,209,8,199,0,876,100,100,2,3,0,0,0,0,2,188,190,1,167,147,42,25,17,6,31,17,18,4,59,0,-4.6550
22,2021,3,100,1,0,1,23,14,9,0,144,24,24,0,0,0,0,0,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3129
22,2022,3,100,1,0,1,32,16,14,0,160,24,24,2,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8353
22,2023,3,100,1,0,1,28,25,3,0,168,24,23,0,1,0,0,0,0,0,25,24,0,16,15,1,0,5,5,0,0,0,0,0,0,0.4233
22,2024,2,100,1,0,1,17,12,4,0,86,15,15,1,1,0,0,0,0,0,13,13,1,6,5,2,1,3,3,0,0,0,0,0,0,-0.7842
22,2024,3,100,1,0,1,10,4,4,0,57,10,10,2,0,0,0,0,0,0,5,5,2,1,1,1,0,2,1,0,0,0,0,0,0,-1.1583
22,2025,25,100,1,0,1,26,19,6,0,153,25,25,1,2,0,0,0,0,2,19,18,0,8,8,3,3,1,1,0,0,0,0,0,0,0.1298
22,2026,25,100,1,0,1,29,21,8,0,150,25,25,0,1,0,0,0,0,0,22,21,0,13,12,2,2,5,4,0,0,0,0,0,0,-0.3053
22,2027,25,100,1,0,1,37,33,2,0,149,25,25,2,0,0,0,0,0,1,35,35,1,24,22,3,3,4,4,0,0,0,0,0,0,-0.4536
22,2028,25,100,1,0,1,2,1,1,0,10,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0988
23,2021,2,100,1,0,8,89,1,86,0,401,43,43,2,0,0,0,0,0,1,87,93,1,0,0,0,0,0,0,0,0,0,0,0,0,-6.0584
23,2023,19,101,6,0,8,297,7,289,0,839,96,96,1,5,0,0,0,0,1,290,307,1,202,196,73,57,31,22,18,6,22,8,45,0,4.2731
23,2024,19,101,6,0,8,357,7,347,0,894,100,100,3,2,0,0,0,0,2,349,349,2,240,228,82,61,38,27,34,21,20,10,66,0,17.7125
23,2024,19,101,6,0,9,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0000
23,2025,19,101,6,0,8,332,5,324,0,890,101,101,3,2,0,0,0,0,1,325,328,1,224,217,80,60,32,21,28,21,20,5,51,0,13.2849
23,2025,19,101,6,0,9,2,0,2,0,5,3,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0871
23,2026,19,101,6,0,8,12,0,12,0,25,3,3,0,0,0,0,0,0,0,12,12,0,6,5,4,3,3,3,1,1,1,0,2,0,0.8975
24,2021,2,100,1,0,3,949,66,876,0,882,100,100,7,96,0,0,0,0,2,188,188,7,0,0,0,0,0,0,0,0,0,0,0,0,-2.9801
24,2022,2,100,1,0,3,980,69,908,0,884,100,100,3,83,0,0,0,0,2,188,185,3,0,0,0,0,0,0,0,0,0,0,0,0,1.3033
24,2023,2,100,1,0,3,909,40,857,0,881,100,100,12,63,0,0,0,0,1,142,138,12,118,109,29,24,10,8,5,2,2,1,8,0,-0.3211
24,2024,2,100,1,0,3,888,35,849,0,901,100,100,4,96,0,0,0,0,1,137,136,4,97,94,32,30,13,8,19,6,3,1,10,0,1.8614
24,2025,2,100,1,0,3,814,29,783,0,884,100,100,2,57,0,0,0,0,0,113,113,1,100,100,26,24,13,6,10,1,4,1,9,0,1.5401
24,2026,2,100,1,0,3,844,30,810,0,879,100,100,4,78,0,0,0,0,0,134,135,4,101,98,32,27,20,10,6,1,1,0,13,0,0.3046
24,2026,2,100,1,0,4,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000
24,2027,2,100,1,0,3,822,33,785,0,893,100,100,4,94,0,0,0,0,1,109,108,4,91,88,22,21,12,7,10,5,3,0,14,0,1.3001
24,2028,2,100,1,0,3,77,3,74,0,79,9,9,0,13,0,0,0,0,0,11,10,0,13,13,1,1,1,1,0,0,0,0,1,0,0.6591
25,2021,3,100,1,0,3,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000
25,2022,3,100,1,0,3,2,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069
25,2022,3,100,1,0,6,4,2,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000
25,2023,3,100,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000
25,2023,3,100,1,0,5,0,0,0,0,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.1141
25,2026,10,100,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0019
26,2020,10,100,1,0,1,1,1,0,0,5,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112
26,2021,2,100,1,0,1,3,2,1,0,29,17,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4327
26,2022,18,101,6,0,1,10,6,4,0,36,25,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6298
