game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
223,100,9,10,0,"2028-8-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,100,2,1,0,"2028-8-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,100,3,24,0,"2028-8-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,100,11,25,0,"2028-8-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,100,9,10,0,"2028-8-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,100,2,1,0,"2028-8-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,100,9,10,0,"2028-8-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,100,11,2,0,"2028-8-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,100,1,25,0,"2028-8-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,100,9,3,0,"2028-8-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,100,24,10,0,"2028-8-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,100,11,2,0,"2028-8-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,100,1,25,0,"2028-8-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,100,9,3,0,"2028-8-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,100,24,10,0,"2028-8-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,100,2,11,0,"2028-8-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,100,1,25,0,"2028-8-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,100,9,3,0,"2028-8-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,100,10,24,0,"2028-8-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,100,2,11,0,"2028-8-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,100,10,24,0,"2028-8-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,100,10,11,0,"2028-8-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,100,25,9,0,"2028-8-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,100,3,2,0,"2028-8-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,100,1,24,0,"2028-8-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,100,10,11,0,"2028-8-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,100,25,9,0,"2028-8-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,100,3,2,0,"2028-8-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,100,1,24,0,"2028-8-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,100,10,11,0,"2028-8-28",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,100,25,9,0,"2028-8-28",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,100,3,2,0,"2028-8-28",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,100,1,24,0,"2028-8-28",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,100,10,11,0,"2028-8-29",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,100,3,11,0,"2028-8-31",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,100,2,10,0,"2028-8-31",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,100,25,1,0,"2028-8-31",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,100,9,24,0,"2028-8-31",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,100,3,11,0,"2028-9-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,100,2,10,0,"2028-9-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,100,25,1,0,"2028-9-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,100,9,24,0,"2028-9-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
