player_id,team_id,league_id,position,role,uniform_number,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,last_day_on_waivers,options_used,option_used_this_year,has_received_arbitration,was_traded,trade_status
327,2,100,1,11,0,0,1,0,0,0,0,0,0,0,0,3,0,3,529,0,583,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
328,3,100,1,11,0,0,1,0,0,0,0,0,0,0,0,1,0,2,278,0,296,61,0,61,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
329,3,100,1,11,0,0,1,0,0,0,0,0,0,0,0,4,0,4,673,0,727,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
330,18,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
331,11,100,1,13,0,0,1,0,0,0,0,0,0,0,0,4,0,4,673,0,727,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,11,100,1,12,0,0,1,0,0,0,0,0,0,0,0,3,0,3,513,0,549,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
334,25,100,1,11,0,0,1,0,0,0,0,0,0,0,0,4,0,4,673,0,727,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
335,25,100,1,11,0,0,1,0,0,0,0,0,0,0,0,3,0,3,529,0,583,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
336,2,100,1,12,0,0,1,0,0,0,0,0,0,0,0,4,0,4,673,0,727,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
