"league_id","team_id","game_id","date","time","innings","runs","hits","team_abbr","team_name","home/away","win","loss","division","league_abbr"
100,25,65,"2027-6-6",1905,9,4,9,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
100,25,67,"2027-6-7",1905,9,0,3,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
100,25,70,"2027-6-9",1905,9,2,4,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,74,"2027-6-10",1905,9,1,6,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,78,"2027-6-11",1905,12,7,12,"UTA","Utah Railroaders","home",1,0,"Western Division","PBE"
100,25,82,"2027-6-14",1905,9,5,11,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,85,"2027-6-15",1905,9,3,9,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,89,"2027-6-16",1905,9,2,6,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,93,"2027-6-17",1905,9,1,5,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,98,"2027-6-19",1905,9,8,12,"UTA","Utah Railroaders","away",1,0,"Western Division","PBE"
100,11,4,"2027-5-15",1905,9,5,7,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,8,"2027-5-16",1905,18,7,21,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,12,"2027-5-17",1905,10,5,6,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,14,"2027-5-18",1905,9,3,8,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,18,"2027-5-20",1905,9,3,8,"VAN","Vancouver Vandals","away",0,1,"Western Division","PBE"
100,11,22,"2027-5-21",1905,9,12,12,"VAN","Vancouver Vandals","away",1,0,"Western Division","PBE"
100,11,26,"2027-5-22",1905,9,1,6,"VAN","Vancouver Vandals","away",0,1,"Western Division","PBE"
100,11,31,"2027-5-25",1905,9,3,6,"VAN","Vancouver Vandals","away",0,1,"Western Division","PBE"
100,11,35,"2027-5-26",1905,9,2,5,"VAN","Vancouver Vandals","away",0,1,"Western Division","PBE"
100,11,39,"2027-5-27",1905,9,0,6,"VAN","Vancouver Vandals","away",0,1,"Western Division","PBE"
100,11,41,"2027-5-28",1905,9,4,7,"VAN","Vancouver Vandals","away",0,1,"Western Division","PBE"
100,11,44,"2027-5-30",1905,9,1,11,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,48,"2027-5-31",1905,9,5,10,"VAN","Vancouver Vandals","home",1,0,"Western Division","PBE"
100,11,52,"2027-6-1",1905,9,3,10,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,57,"2027-6-4",1905,9,2,4,"VAN","Vancouver Vandals","home",1,0,"Western Division","PBE"
100,11,61,"2027-6-5",1905,9,10,10,"VAN","Vancouver Vandals","home",1,0,"Western Division","PBE"
100,11,65,"2027-6-6",1905,9,10,10,"VAN","Vancouver Vandals","home",1,0,"Western Division","PBE"
100,11,67,"2027-6-7",1905,9,3,10,"VAN","Vancouver Vandals","home",1,0,"Western Division","PBE"
100,11,71,"2027-6-9",1905,9,1,3,"VAN","Vancouver Vandals","away",0,1,"Western Division","PBE"
100,11,75,"2027-6-10",1905,9,12,18,"VAN","Vancouver Vandals","away",1,0,"Western Division","PBE"
100,11,79,"2027-6-11",1905,11,5,8,"VAN","Vancouver Vandals","home",1,0,"Western Division","PBE"
100,11,81,"2027-6-12",1905,9,2,7,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,86,"2027-6-15",1905,9,0,4,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,90,"2027-6-16",1905,9,2,3,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,94,"2027-6-17",1905,9,2,5,"VAN","Vancouver Vandals","home",0,1,"Western Division","PBE"
100,11,95,"2027-6-19",1905,9,2,7,"VAN","Vancouver Vandals","home",1,0,"Western Division","PBE"
101,16,303,"2027-5-16",1905,9,11,14,"ANC","Anchorage Wheelers","away",1,0,"West Division","MiPBE"
101,16,305,"2027-5-17",1905,9,11,19,"ANC","Anchorage Wheelers","away",1,0,"West Division","MiPBE"
101,16,307,"2027-5-18",1905,9,2,6,"ANC","Anchorage Wheelers","away",0,1,"West Division","MiPBE"
101,16,309,"2027-5-19",1905,9,17,19,"ANC","Anchorage Wheelers","away",1,0,"West Division","MiPBE"
101,16,311,"2027-5-22",1905,9,9,14,"ANC","Anchorage Wheelers","away",0,1,"West Division","MiPBE"
101,16,313,"2027-5-23",1905,9,5,10,"ANC","Anchorage Wheelers","away",0,1,"West Division","MiPBE"
101,16,315,"2027-5-24",1905,9,5,10,"ANC","Anchorage Wheelers","away",1,0,"West Division","MiPBE"
101,16,319,"2027-5-27",1905,9,5,9,"ANC","Anchorage Wheelers","home",1,0,"West Division","MiPBE"
101,16,321,"2027-5-28",1905,9,7,14,"ANC","Anchorage Wheelers","home",1,0,"West Division","MiPBE"
101,16,322,"2027-5-29",1905,9,13,16,"ANC","Anchorage Wheelers","home",1,0,"West Division","MiPBE"
101,16,324,"2027-5-31",1905,10,2,5,"ANC","Anchorage Wheelers","home",0,1,"West Division","MiPBE"
101,16,326,"2027-6-1",1905,11,4,8,"ANC","Anchorage Wheelers","home",1,0,"West Division","MiPBE"
101,16,328,"2027-6-2",1905,9,2,6,"ANC","Anchorage Wheelers","home",1,0,"West Division","MiPBE"
101,16,331,"2027-6-5",1905,9,10,16,"ANC","Anchorage Wheelers","home",1,0,"West Division","MiPBE"
101,16,333,"2027-6-6",1905,9,3,6,"ANC","Anchorage Wheelers","home",1,0,"West Division","MiPBE"
101,16,335,"2027-6-7",1905,9,6,9,"ANC","Anchorage Wheelers","home",1,0,"West Division","MiPBE"
101,16,337,"2027-6-8",1905,9,2,9,"ANC","Anchorage Wheelers","home",0,1,"West Division","MiPBE"
101,16,338,"2027-6-10",1905,9,2,6,"ANC","Anchorage Wheelers","away",0,1,"West Division","MiPBE"
101,16,340,"2027-6-11",1905,9,1,9,"ANC","Anchorage Wheelers","away",1,0,"West Division","MiPBE"
101,16,342,"2027-6-12",1905,9,7,13,"ANC","Anchorage Wheelers","away",0,1,"West Division","MiPBE"
101,16,344,"2027-6-16",1905,9,4,8,"ANC","Anchorage Wheelers","away",0,1,"West Division","MiPBE"
101,16,346,"2027-6-17",1905,9,6,8,"ANC","Anchorage Wheelers","away",0,1,"West Division","MiPBE"
101,16,348,"2027-6-18",1905,9,2,13,"ANC","Anchorage Wheelers","away",0,1,"West Division","MiPBE"
101,19,302,"2027-5-16",1905,9,2,6,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,304,"2027-5-17",1905,9,3,6,"ARM","Amarillo Armadillos","home",0,1,"West Division","MiPBE"
101,19,306,"2027-5-18",1905,9,7,14,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,308,"2027-5-19",1905,9,10,12,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,311,"2027-5-22",1905,9,10,16,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,313,"2027-5-23",1905,9,9,16,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,315,"2027-5-24",1905,9,0,5,"ARM","Amarillo Armadillos","home",0,1,"West Division","MiPBE"
101,19,317,"2027-5-26",1905,9,2,7,"ARM","Amarillo Armadillos","away",0,1,"West Division","MiPBE"
101,19,318,"2027-5-27",1905,12,6,7,"ARM","Amarillo Armadillos","away",0,1,"West Division","MiPBE"
101,19,320,"2027-5-28",1905,9,2,7,"ARM","Amarillo Armadillos","away",0,1,"West Division","MiPBE"
101,19,323,"2027-5-31",1905,9,3,12,"ARM","Amarillo Armadillos","away",0,1,"West Division","MiPBE"
101,19,325,"2027-6-1",1905,9,4,11,"ARM","Amarillo Armadillos","away",0,1,"West Division","MiPBE"
101,19,327,"2027-6-2",1905,9,9,14,"ARM","Amarillo Armadillos","away",1,0,"West Division","MiPBE"
101,19,329,"2027-6-3",1905,9,11,12,"ARM","Amarillo Armadillos","away",1,0,"West Division","MiPBE"
101,19,331,"2027-6-5",1905,9,3,10,"ARM","Amarillo Armadillos","away",0,1,"West Division","MiPBE"
101,19,333,"2027-6-6",1905,9,1,10,"ARM","Amarillo Armadillos","away",0,1,"West Division","MiPBE"
101,19,335,"2027-6-7",1905,9,1,9,"ARM","Amarillo Armadillos","away",0,1,"West Division","MiPBE"
101,19,337,"2027-6-8",1905,9,3,6,"ARM","Amarillo Armadillos","away",1,0,"West Division","MiPBE"
101,19,339,"2027-6-11",1905,9,5,11,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,341,"2027-6-12",1905,9,6,14,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,343,"2027-6-13",1905,11,3,8,"ARM","Amarillo Armadillos","home",0,1,"West Division","MiPBE"
101,19,344,"2027-6-16",1905,9,6,8,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,346,"2027-6-17",1905,9,12,12,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,19,348,"2027-6-18",1905,9,5,9,"ARM","Amarillo Armadillos","home",1,0,"West Division","MiPBE"
101,17,303,"2027-5-16",1905,9,4,9,"KGN","Kingston Mounties","home",0,1,"East Division","MiPBE"
101,17,305,"2027-5-17",1905,9,2,4,"KGN","Kingston Mounties","home",0,1,"East Division","MiPBE"
101,17,307,"2027-5-18",1905,9,5,9,"KGN","Kingston Mounties","home",1,0,"East Division","MiPBE"
101,17,309,"2027-5-19",1905,9,6,9,"KGN","Kingston Mounties","home",0,1,"East Division","MiPBE"
